Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
188,0,57.3097,58.8024,-6.44041,-60.2586,-619.027,1505.91
189,0,58.1578,59.6145,-4.37274,-74.5041,-624.867,1519.76
190,0,59.0195,60.428,-2.53096,-88.5195,-631.128,1533.27
191,0,59.6516,61.4684,-0.77465,-102.137,-637.914,1546.44
192,,,,,,,
193,0,61.2818,62.7595,3.6116,-128.617,-652.765,1571.51
194,0,58.0194,68.8338,0.520385,-142.08,-660.574,1584.48
195,0,58.3023,69.5914,2.51831,-154.364,-668.929,1595.93
196,0,58.4768,70.3668,4.38891,-166.251,-677.509,1606.87
197,0,58.8387,70.9591,6.36035,-177.727,-686.368,1617.42
198,0,60.82,69.6661,9.96497,-188.5,-695.261,1627.53
199,0,60.96,70.5637,11.5918,-198.929,-704.407,1637.25
200,0,60.8485,71.9106,12.7673,-208.915,-713.745,1646.47
201,0,60.3067,73.4855,13.8916,-218.328,-722.998,1655.24
202,0,60.1828,74.5517,15.2958,-227.254,-732.378,1663.42
203,0,59.8945,75.7098,16.6553,-235.587,-741.515,1670.93
204,0,59.499,76.7965,17.7909,-243.524,-750.508,1677.92
205,0,59.148,77.7317,18.9731,-250.794,-759.16,1684.25
206,0,58.5254,78.8809,19.8433,-257.497,-767.441,1689.93
207,0,58.3499,79.5587,20.9969,-263.689,-775.356,1694.99
208,0,57.9867,80.2932,21.9383,-269.339,-782.867,1699.47
209,0,57.6127,80.9383,22.853,-274.416,-789.838,1703.35
210,0,57.2639,81.4889,23.7082,-279.016,-796.392,1706.69
211,0,57.1711,81.6843,24.6543,-282.986,-802.473,1709.58
212,0,57.0007,81.8978,25.5751,-286.309,-807.775,1711.96
213,0,56.5476,82.4051,26.0539,-289.068,-812.495,1714.01
214,0,55.8868,83.1327,26.2512,-291.181,-816.439,1715.74
215,0,55.2198,83.8455,26.2164,-292.765,-819.774,1717.13
216,0,54.8769,84.375,26.2997,-293.789,-822.369,1718.1
217,0,55.1205,84.2688,26.7079,-294.256,-824.399,1718.66
218,0,55.0411,84.4,26.7955,-294.278,-825.859,1718.81
219,0,55.0828,84.3078,26.9383,-293.801,-826.81,1718.64
220,0,55.3735,84.0575,27.3116,-292.811,-827.125,1718.22
221,0,54.8568,84.5241,27.1065,-291.368,-826.815,1717.67
222,0,54.6716,84.7949,27.0547,-289.298,-825.773,1716.86
223,0,54.884,84.7327,27.0244,-286.676,-823.831,1715.67
224,0,54.874,84.7432,26.3635,-283.63,-821.443,1714.3
